     xj
xi         1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44     45     46     47     48     49     50     51     52     53     54     55     56     57     58     59     60     61     62     63     64     65     66     67     68     69     70     71     72     73     74     75     76     77     78     79     80     81     82     83     84     85     86     87     88     89     90     91     92     93     94     95     96     97     98     99    100
  1        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  2        0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  3        0      0 689934 132164  53221  26549  14320   8798   5399   3733   2578   1988   1802   1302    952    794    718    514    406    382    292    217    211    198    138    168    150    124     82     74     75     92     79     98     74     63     43     45     31     16     20     47     48     34     37     11     11     11     28     58     13      9      9      6      8     77     13      8     12     35     20      7     10     11      8     40      6      6      6     11     10      0      0      6     19      9      0      9      8      0      0      0      0      0      8      0      6      0      0      0      0      6      0      0      0      0      0      0      0      0
  4        0      0 139334 134523  64824  32626  17914  10604   6076   4074   2772   2075   1942   1427   1065    805    754    574    475    357    297    264    205    236    195    160    174    124     88     82     91     89    102     95     84     70     73     54     57     31     32     42     72     45     44     15     16      6     35     47     13     12      8     10     11     55     11     14     13     31     11      0      6      6      8     37      0      0      8      6      6      0      0      0     14      6      6     11      0      0      0      0      0      0      6      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  5        0      0  58567  65840  70990  41058  22876  13467   7574   4868   3372   2580   2098   1596   1178    950    868    659    551    428    377    340    243    220    202    208    184    131    112     96    102    105     99     97     78     59     71     59     50     47     26     42     84     47     36     13     14     13     24     60     14     10     10     14      9     60     11     11     10     29     11      6      0      7     13     35      0      0      0     14      8      6      0      6     33      8      8      7      0      0      0      0      0      0      9      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  6        0      0  28204  35613  40968  44476  28552  17156  10053   6236   4060   2870   2579   1808   1335   1067    886    717    580    476    397    318    287    251    193    227    200    175    121     92     83    119    112    117     94     79     75     68     39     35     43     50     67     54     43     10     13     18     37     61      8      6      9      9     11     71     12      6     13     37     16      7      0      6     15     43      6      6      6     10      0      0      0      6     25     12      6      9      0      0      0      0      0      0      7      0     11      0      0      0      0      0      0      0      0      0      0      0      0      0
  7        0      0  14241  20575  24024  27265  29196  21004  12190   7887   5074   3575   3097   2157   1570   1260   1044    855    634    519    424    330    325    280    258    262    233    167    147    103    119    116    134    133    108     98     79     65     52     46     27     47     65     56     44     20     20     13     45     61     11     15     10      6      8     62     17      9     11     33     16      6      6      6      8     40      0      6      0      9      6      0      0      0     23     10      6      8      0      6      0      0      0      0     10      0      6      0      0      0      0      6      0      0      0      0      0      0      0      0
  8        0      0   7831  12352  15320  17710  19822  21762  14918   9487   6287   4339   3822   2598   1806   1418   1133    955    772    633    517    402    412    341    277    261    278    204    148    157    144    141    137    145    112    118     84     80     57     43     35     56     75     66     66     12     21     26     48     61      8     14     14     13     14     60     11     13     14     37     22      7     17      6     15     46      6      0      0     11     11      6      6      6     32     12     10      6      0      0      0      0      0      0     10      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  9        0      0   4012   6873   8938  10954  12439  14198  14069  10471   7036   5244   4329   2962   2103   1515   1285    992    738    622    524    431    413    334    277    286    235    198    164    135    130    168    132    136    117    103    105     77     63     45     25     64     91     58     50     22     22     16     45     69     10     17      6     14      9     70     15      7     13     37     17      7      6      6     12     40      7      6      6      9      0      0      0      0     24      9     13     10      0      0      0      0      0      0     11      0      9      0      0      0      0      0      0      0      0      0      6      0      0      0
  10       0      0   2307   4035   5614   6930   8103   9598   9571   9601   7540   5551   4848   3387   2218   1796   1344    997    851    675    528    460    408    357    305    325    273    193    167    136    156    177    128    148    135    115    119     87     58     42     38     76     84     67     60     14     20     16     48     67     15      8      9     10     11     59     12     15     14     24     14      6      0      6      8     43      0      0      6      6      0      0      0      0     21     10      8      6      0      0      0      0      0      0      7      6      9      0      0      0      0      0      0      0      0      0      6      0      0      0
