Class,,Analyses,Rough findings (P: preliminary),Complete,Code written,In manuscript
v4 performance,v4 performance of super-learner (3-fold XV),"ROC, PRC, CAL, MET",AUROC about 0.8,Y,Y,"Results: predictive performance  (as v3,v4,max(v3,v4))"
,"v4 performance, constitutents of super-learner (3 fold XV)","ROC, PRC, CAL, MET","Best XGB, RF, comparable to SL",Y,Y,Results: model analysis
,"v4 performance, combined super-learner and constituents for comparison","ROC, PRC, CAL",As above,Y,Y,Omitted - individual plots shown
,"v4 performance, no topic model (fitted to folds 1/2, tested on fold 3)","ROC, PRC, CAL, MET",Slightly but significantly worse AUROC,Y,Y,Results: model analysis
,"v4 performance, no topic model, number admitted amongst top N (fitted to folds 1/2, tested on fold 3)",Table,c. 200 more admitted patients amongst top 10k,Y,Y,Results: model analysis
,Unit test,Text file output,uses randomly-generated mockups of table,Y,Y,
,,,,,,
v4 vs v3,v4 vs v3 performance: ,"ROC, PRC, CAL",AUROC 0.8 vs 0.78. Cal improved,Y,Y,"Results: predictive performance (as v3,v4,max(v3,v4))"
,v4 vs v3 performance in samples >80: ,"ROC, PRC, CAL",More AUROC and cal improvement,Y,Y,Results: predictive performance
,"v4 vs v3 performance in low-risk samples (20-70, no AE): ","ROC, PRC, CAL",More AUROC and cal improvement,Y,Y,Results: predictive performance
,v4 vs v3 performance in complement of previous two cohorts,"ROC, PRC, CAL",Equivocal to whole cohort,Y,Y,Results: predictive performance
,v4 vs v3 performance using only samples from final time point,"ROC, PRC, CAL",Equivocal to whole cohort,Y,Y,Supplementary figures
,v4 vs v3 performance using only samples from first time point,"ROC, PRC, CAL",Slightly less AUROC improvement - consistent with updating effect.,Y,Y,Supplementary figures
,v4 vs v3 performance: number admitted amongst top N patients,Figure,Equivocal; slightly better cal in v4,Y,Y,Results: predictive performance
,v4 vs v3 performance: number needed to treat for N more avoidable admissions,Figure,2000 fewer patients to target 20k avoidable admissions,Y,Y,Results: predictive performance
,v4 vs v3 performance: calbration in samples for which v3 and v4 substantially differ,Figure,"v4 much better calibrated when |v3-v4|>0.1, either way",Y,Y,Results: performance in subcohorts
,"v4 vs v3 vs max(v3,v4)","ROC, PRC, CAL","Maximum only slightly lower than v4, better than v3",Y,Y,Results: predictive performance
,v4 vs v3 density plot,Figure,V4 score generally slightly higher than v3 score; many individuals jump from a low v3 score to a higher v4 score.,Y,Y,Supplementary figures
,,,,,,
v4 analytics,v4-predicted admissions over disease class,"Figure, table","External, resp, GI, circ causes most common. In high-v4 patients, resp, GU, MH, neoplasm relatively more common.",Y,Y,Results: performance in subcohorts
,"v4-predicted admissions over disease class, by PPV","Figure, table","PPVs low for all diseases; rise faster for resp, MH. Note many admissions do not have a specified disease class, and many individuals with v4>[cutoff] were not admitted at all.",Y,Y,Supplementary figures
