Code 1,Code Description Text,Full Description text,length
A00,CHOLERA,CHOLERA,3
A000,"CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR CHOLERAE","CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR CHOLERAE",4
A001,"CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR ELTOR","CHOLERA DUE TO VIBRIO CHOLERAE 01, BIOVAR ELTOR",4
A009,"CHOLERA, UNSPECIFIED","CHOLERA, UNSPECIFIED",4
A01,TYPHOID AND PARATYPHOID FEVERS,TYPHOID AND PARATYPHOID FEVERS,3
A010,TYPHOID FEVER,TYPHOID FEVER,4
A011,PARATYPHOID FEVER A,PARATYPHOID FEVER A,4
A012,PARATYPHOID FEVER B,PARATYPHOID FEVER B,4
A013,PARATYPHOID FEVER C,PARATYPHOID FEVER C,4
A014,"PARATYPHOID FEVER, UNSPECIFIED","PARATYPHOID FEVER, UNSPECIFIED",4
A02,OTHER SALMONELLA INFECTIONS,OTHER SALMONELLA INFECTIONS,3
A020,SALMONELLA ENTERITIS,SALMONELLA ENTERITIS,4
A021,SALMONELLA SEPSIS,SALMONELLA SEPSIS,4
A022,LOCALIZED SALMONELLA INFECTIONS,LOCALIZED SALMONELLA INFECTIONS,4
A028,OTHER SPECIFIED SALMONELLA INFECTIONS,OTHER SPECIFIED SALMONELLA INFECTIONS,4
A029,"SALMONELLA INFECTION, UNSPECIFIED","SALMONELLA INFECTION, UNSPECIFIED",4
A03,SHIGELLOSIS,SHIGELLOSIS,3
A030,SHIGELLOSIS DUE TO SHIGELLA DYSENTERIAE,SHIGELLOSIS DUE TO SHIGELLA DYSENTERIAE,4
A031,SHIGELLOSIS DUE TO SHIGELLA FLEXNERI,SHIGELLOSIS DUE TO SHIGELLA FLEXNERI,4
A032,SHIGELLOSIS DUE TO SHIGELLA BOYDII,SHIGELLOSIS DUE TO SHIGELLA BOYDII,4
A033,SHIGELLOSIS DUE TO SHIGELLA SONNEI,SHIGELLOSIS DUE TO SHIGELLA SONNEI,4
A038,OTHER SHIGELLOSIS,OTHER SHIGELLOSIS,4
A039,"SHIGELLOSIS, UNSPECIFIED","SHIGELLOSIS, UNSPECIFIED",4
A04,OTHER BACTERIAL INTESTINAL INFECTIONS,OTHER BACTERIAL INTESTINAL INFECTIONS,3
A040,ENTEROPATHOGENIC ESCHERICHIA COLI INFECTION,ENTEROPATHOGENIC ESCHERICHIA COLI INFECTION,4
A041,ENTEROTOXIGENIC ESCHERICHIA COLI INFECTION,ENTEROTOXIGENIC ESCHERICHIA COLI INFECTION,4
A042,ENTEROINVASIVE ESCHERICHIA COLI INFECTION,ENTEROINVASIVE ESCHERICHIA COLI INFECTION,4
A043,ENTEROHAEMORRHAGIC ESCHERICHIA COLI INFECTION,ENTEROHAEMORRHAGIC ESCHERICHIA COLI INFECTION,4
A044,OTHER INTESTINAL ESCHERICHIA COLI INFECTIONS,OTHER INTESTINAL ESCHERICHIA COLI INFECTIONS,4
A045,CAMPYLOBACTER ENTERITIS,CAMPYLOBACTER ENTERITIS,4
A046,ENTERITIS DUE TO YERSINIA ENTEROCOLITICA,ENTERITIS DUE TO YERSINIA ENTEROCOLITICA,4
A047,ENTEROCOLITIS DUE TO CLOSTRIDIUM DIFFICILE,ENTEROCOLITIS DUE TO CLOSTRIDIUM DIFFICILE,4
A048,OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS,OTHER SPECIFIED BACTERIAL INTESTINAL INFECTIONS,4
A049,"BACTERIAL INTESTINAL INFECTION, UNSPECIFIED","BACTERIAL INTESTINAL INFECTION, UNSPECIFIED",4
A05,"OTHER BACTERIAL FOODBORNE INTOXICATIONS, NOT ELSEWHERE CLASSIFIED","OTHER BACTERIAL FOODBORNE INTOXICATIONS, NOT ELSEWHERE CLASSIFIED",3
